BCR_name	M8000_R1	M8000_R2	M8000_R3	M8000_R4	M4000_R1	M4000_R2	M4000_R3	M4000_R4
1a	882	1087	757	1277	516	608	530	522
1b	865	1134	695	1231	598	554	498	522
1c	792	1145	691	1200	548	567	495	514
2a	1237	1488	1105	1727	694	771	675	725
2b	1175	1446	1038	1646	703	788	640	641
2c	1224	1499	1177	1695	747	774	700	759
3a	999	1096	809	1359	642	628	546	574
3b	968	1219	809	1322	610	570	534	566
3c	995	1242	830	1419	610	625	584	630
4a	1069	1374	850	1569	680	728	590	604
4b	1027	1298	897	1465	696	693	599	663
4c	1053	1324	811	1516	644	683	614	694
5a	1053	1327	837	1553	664	656	600	645
5b	1088	1344	836	1622	670	773	644	645
5c	1076	1322	891	1684	694	690	629	669
 6a	1173	1403	916	1529	667	715	638	647
 6b	1181	1358	1105	1449	659	742	663	667
 6c	1048	1267	915	1472	616	670	617	630
 7a	1081	1381	1025	1602	726	766	612	652
 7b	1134	1369	1075	1550	655	710	638	677
 7c	1220	1368	1158	1643	712	782	653	661
 8a	561	650	546	624	265	298	280	279
 8b	642	639	520	648	298	307	327	331
 8c	605	657	499	642	298	315	303	310
 9a	489	613	405	810	352	352	289	295
 9b	654	746	593	979	392	400	401	397
 9c	565	758	511	890	343	418	359	397
 10a	337	419	361	333	153	180	167	175
 10b	339	383	328	352	160	180	179	196
 10c	309	386	316	359	148	170	161	181
 11a	829	1078	699	1277	512	591	468	513
 11b	899	1139	734	1354	552	569	464	543
 11c	820	1069	545	1317	531	596	442	450
 12a	524	693	458	701	300	326	311	303
 12b	581	697	507	827	345	354	307	329
 12c	585	708	546	713	297	345	318	340
 13a	875	1056	857	1198	534	525	501	584
 13b	1030	1184	857	1405	668	718	600	587
 13c	863	1050	834	1259	502	518	512	534
 14a	1297	1590	1260	1772	775	754	700	774
 14b	1406	1639	1351	1878	759	878	781	856
 14c	1169	1430	1041	1660	716	721	697	735
 15a	780	1075	559	1328	529	575	446	480
 15b	858	1044	535	1264	549	554	447	478
 15c	734	1058	564	1328	537	549	488	503
 16a	1412	1793	1400	1913	784	902	842	810
 16b	1321	1678	1159	1806	777	747	747	755
 16c	1347	1436	1357	1690	687	771	719	702
